,importance
EK_7,0.03171649077511007
EK_9,0.022399852956758504
EK_2,0.020322423820632974
EK_4,0.015806848750969896
AL_26,0.014344491263816928
EK_6,0.014129475273468129
EK_3,0.013949734491774253
EK_8,0.013524934034562432
EK_1,0.012452853558378758
AL_14,0.011348890897037818
EK_5,0.010591723020567234
AL_7,0.010168897450785778
AL_8,0.0094672149568592
AL_11,0.008872743451480114
AL_327,0.008766569395567672
AL_12,0.008765119160871006
AL_13,0.008726671414607428
AL_9,0.008504492402293118
AL_16,0.00828031531385773
AL_15,0.008280290460629879
AL_17,0.007908096864825418
AL_10,0.007556159701462941
AL_186,0.007486588099849662
AL_24,0.006947726334094759
AL_224,0.006849059816715415
MISSING_AL_10,0.006671442426062081
MISSING_AL_12,0.006431436686609139
CAT_1,0.006383450560454039
MISSING_AL_25,0.006381201935229352
AL_23,0.006241349409301709
AL_184,0.0061312810128632675
MISSING_AL_23,0.005888716376906909
AL_19,0.005780601895342897
AL_94,0.005466855320162328
AL_296,0.00543819253937944
MISSING_CAT_1,0.00535381072496019
MISSING_AL_17,0.005267471767146337
MISSING_AL_7,0.005186131410079111
MISSING_AL_19,0.005170294964466721
MISSING_AL_8,0.00514433114865306
AL_251,0.005102973638397259
AL_287,0.005059863343410239
MISSING_AL_18,0.004958664447837226
MISSING_AL_13,0.0049463257707730275
AL_22,0.004836482901058144
MISSING_AL_22,0.004816738379218363
AL_73,0.004744571793475141
MISSING_AL_15,0.004730834172574308
AL_79,0.004723450358556435
AL_215,0.004723222746573
MISSING_AL_20,0.004519472528818875
MISSING_AL_16,0.004516890066995288
AL_91,0.0045005887835561
AL_82,0.0044726390205552255
CAT_3,0.004451063593082757
AL_20,0.004449125414598894
AL_21,0.004418262140611968
MISSING_EK_1,0.004407641679008506
MISSING_AL_24,0.004371378648275139
MISSING_AL_21,0.0043624666159602105
CAT_4,0.004356981095675635
AL_25,0.004310604770164038
AL_260,0.004284388392436688
CAT_5,0.0042562690408322005
AL_18,0.0042029886068654446
AL_306,0.004147637467660366
MISSING_AL_11,0.004088520306638756
AL_103,0.004047161852498033
AL_172,0.004041214001669076
MISSING_AL_26,0.003975556864602
AL_64,0.003939622708847441
AL_136,0.003912218528817819
AL_175,0.003890534688014809
AL_323,0.003886134515540914
AL_178,0.00384965670925333
AL_188,0.003834371425206311
MISSING_AL_14,0.0038299805468109205
AL_40,0.003823628323108653
MISSING_EK_5,0.0037485529580014816
AL_127,0.0037193155441548873
AL_43,0.0036919102734637786
AL_315,0.003658656358669677
AL_157,0.0035928616548965148
AL_311,0.0035714031257372404
AL_298,0.0035672761135903284
AL_166,0.003536796831404847
AL_115,0.00353484553784077
MISSING_EK_7,0.003502341904499427
AL_52,0.0034974186267680007
MISSING_EK_8,0.0034840390540552494
AL_151,0.0034829793593549718
AL_133,0.0034782086803249847
MISSING_AL_214,0.003466373311572064
AL_100,0.003450882388981614
MISSING_EK_2,0.003316902363851205
AL_139,0.0032707353315604808
AL_169,0.003265576288353561
AL_124,0.003256835998153767
AL_319,0.003242689037081427
MISSING_CAT_4,0.0032280235567451543
AL_331,0.003226396984060183
AL_145,0.0031791101830979406
AL_148,0.0031763250000043184
MISSING_EK_6,0.003174952952185931
MISSING_AL_9,0.003142206962268606
AL_154,0.0031195582653359964
AL_118,0.003082868414364764
AL_302,0.003063569682132272
MISSING_EK_9,0.0030604412489037298
AL_88,0.0030533103488797364
AL_160,0.003044684047891202
AL_121,0.0030334492445001754
AA_1_R,0.0030326237603897385
AL_262,0.0030227499392880704
AL_142,0.003017288106098166
AL_55,0.003004721928430341
AL_109,0.0029926132119779815
AL_163,0.002962549560778497
AL_70,0.0029440482877688716
MISSING_EK_3,0.0029209766183234337
MISSING_AL_216,0.002916843341884761
AL_181,0.0028922895109418346
panel_MASTER,0.0028729320890719303
AL_58,0.0028660640521452553
AL_283,0.0028135078036500166
AL_61,0.0028061169794878775
AL_112,0.002788396082797633
AL_266,0.002769679538599909
AL_85,0.0027617267530817475
AL_130,0.0027487889899838734
MISSING_AL_217,0.0026630674445207183
AL_97,0.002605535225613603
AL_49,0.0025917079843630264
AL_67,0.002570256787314486
AL_46,0.002558301605814846
MISSING_EK_4,0.002548229331674936
MISSING_CAT_3,0.002474885111055238
AL_194,0.002467600279176056
AL_230,0.0024511207696358774
AL_76,0.0024430158368392114
AA_2_R,0.00241350379810593
AL_255,0.0024013014595350673
MISSING_AL_326,0.0023889028550308903
AL_106,0.002382282125697807
AL_243,0.002335350252491335
MISSING_CAT_5,0.0023340526461516293
AL_219,0.002327149102792372
AL_211,0.0023267036204018695
panel_KANSER,0.002323182978888364
AL_247,0.002305175033338368
AL_190,0.002238653197872782
AL_199,0.002180666275142534
AL_275,0.0021433890696866244
AL_291,0.002081953859552519
AL_203,0.0020433784316599016
AL_279,0.002012002523214269
AA_2_E,0.0019948349908683175
AA_1_G,0.0019620984384212804
AL_226,0.001954762076233302
MISSING_AL_215,0.001952191993690315
AL_207,0.0019206646068889084
MISSING_AL_327,0.0018623920900119905
AL_271,0.0018623825972370403
AL_239,0.0018594656351548354
AL_235,0.0018410053518905782
MISSING_AL_318,0.0016736927345101756
MISSING_AL_319,0.001654283076367898
MISSING_AL_331,0.0016170787034334938
MISSING_AL_310,0.0016039930161777648
AA_2_S,0.0015271043874109185
panel_PAH,0.001484932357900805
MISSING_AL_309,0.0014822399355773825
AL_301,0.001456375625905516
MISSING_AL_313,0.0014449751280779073
AA_2_L,0.001437396696556324
MISSING_AL_307,0.0014360682998026016
CAT_2,0.0014256515788674583
MISSING_AL_330,0.0013941163799488178
AA_1_L,0.0013741331008600966
MISSING_AL_295,0.0013685682969284234
MISSING_AL_297,0.001334346775650084
MISSING_AL_304,0.0013257830103716682
MISSING_AL_311,0.0013236280906029772
AA_2_H,0.0013063697307439072
AL_45,0.0013061848916290713
AA_1_K,0.0012830364654177453
MISSING_AL_323,0.0012826449518928632
AL_304,0.0012779527339380433
MISSING_AL_296,0.0012760204941311849
AA_2_Y,0.0012710260339419063
MISSING_AL_185,0.0012648990316486309
AL_300,0.0012479959433420369
AL_318,0.0012241312936622786
MISSING_AL_306,0.0012198141119803177
AA_1_C,0.0012033832262169232
AA_2_W,0.0011952169074907388
AA_2_C,0.0011823525190779607
MISSING_AL_333,0.0011748578793140793
MISSING_AL_302,0.0011455019537146055
MISSING_AL_305,0.0011391842457698408
MISSING_AL_314,0.0011388307961694383
AA_2_P,0.0011246458647789547
AL_333,0.00112032300464003
MISSING_AL_298,0.001101028713490699
AA_2_A,0.0010871289462509128
MISSING_AL_252,0.001070057246598743
AA_2_V,0.0010471137885192192
MISSING_AL_328,0.0010434869328236952
MISSING_AL_308,0.0010380378694203852
MISSING_AL_315,0.001031240354402577
MISSING_AL_301,0.0010106322962052197
AL_96,0.0009905412521538824
AA_1_N,0.0009880691443546904
AA_2_G,0.0009680911372452166
AL_129,0.0009570878490402255
MISSING_AL_317,0.0009550436617279675
AA_1_W,0.000950145885204486
AA_1_D,0.0009491144006229502
AA_1_S,0.000946740546133652
MISSING_AL_325,0.000937897029271629
MISSING_AL_300,0.0009368399033124863
AL_117,0.0009283530760909009
MISSING_AL_184,0.0009270084850268462
MISSING_AL_324,0.0009245047354388752
AL_334,0.0009210682928247404
AL_150,0.0009005135686705583
MISSING_AL_74,0.0008946178047846077
AL_141,0.0008806057101969983
AL_123,0.0008792050934108221
AA_1_E,0.0008669756812684781
AL_168,0.0008661663038874102
AA_2_Q,0.000865978145464771
AL_310,0.0008623356519473569
AL_317,0.0008603064409269114
AL_174,0.000859105762302895
AL_305,0.0008447670498836077
AA_1_M,0.000840429336625367
AL_83,0.0008397030064783355
MISSING_AL_332,0.0008365778139564765
AA_1_P,0.0008167301961466821
MISSING_AL_63,0.0008124495101976536
AA_2_T,0.0008060101921033851
AL_171,0.0007919854256760775
AL_147,0.0007912800007664261
AL_329,0.0007903316338375416
MISSING_AL_183,0.0007835897906091288
AL_330,0.0007805877835027145
AL_66,0.0007750150687762697
AL_69,0.0007680414159958981
AL_313,0.0007655356541556826
AL_60,0.0007569379114504901
AL_105,0.0007561371193324986
AL_51,0.000752944274927096
AA_2_K,0.0007526906035438991
AL_57,0.0007421234230969854
MISSING_AL_50,0.0007408072102289951
MISSING_AL_312,0.0007366481830304634
MISSING_AL_61,0.0007336575027666058
AL_84,0.0007268191046186991
AL_126,0.000710624244918098
AL_159,0.0007002267987313204
AL_202,0.0006896176973769769
AA_2_I,0.000683346385952201
MISSING_AL_299,0.0006815072870920446
AL_193,0.0006797624947030526
AL_63,0.0006733524438135011
MISSING_AL_68,0.0006724711253903416
MISSING_AL_54,0.0006713065695056714
AA_2_F,0.0006693399580196871
AL_198,0.0006662135072398207
AL_92,0.0006619290247007757
AL_218,0.0006598782013284937
AL_258,0.000657509516152836
AA_2_N,0.0006566910027750582
AL_108,0.0006513224431463905
MISSING_AL_56,0.0006501348683516998
AL_206,0.000645269585306199
AL_289,0.0006422423311873007
MISSING_AL_201,0.0006385880007457618
MISSING_AL_40,0.0006353403135568478
AL_48,0.0006288306680652726
AL_162,0.0006273757619429292
AL_278,0.0006268006345192525
AA_1_V,0.0006259099302113435
AL_241,0.0006074783780045915
AA_1_T,0.0006066248770723082
MISSING_AL_321,0.0006065362820841463
MISSING_AL_45,0.0006018223806022924
AA_2_D,0.0006001737384648916
AL_234,0.0005945099976999644
MISSING_AL_64,0.0005928034057105422
AL_138,0.0005869524087167688
AA_1_Q,0.0005828811045178825
AA_1_Y,0.0005827245013108065
MISSING_AL_66,0.000582020070346781
AL_213,0.0005798521847793164
MISSING_AL_49,0.0005765279138852877
AL_297,0.0005757145337336951
MISSING_AL_67,0.0005735021493633197
MISSING_AL_320,0.0005713479421351553
AL_75,0.0005684115474155843
AA_1_F,0.0005669923451050195
AL_72,0.0005660958260112333
AL_277,0.0005622007299728738
MISSING_AL_42,0.0005604455916327634
AA_1_H,0.0005599494972107574
MISSING_AL_46,0.0005597158557038316
AL_42,0.0005492164996435684
MISSING_AL_195,0.0005487475598323811
