,importance
BIO_ek_max,6.573307686322759
BIO_ek_std,4.260778987808171
EK_9,3.5486094532505446
EK_7,2.1820133334598824
AL_327,1.7916843769876496
BIO_ek_mean,1.2711163480214716
AL_3,1.0479304795112632
AL_298,0.9510168727758701
AL_7,0.9090768009590283
AL_30,0.879996608893611
BIO_alblk05_max,0.8624540472697895
BIO_alblk05_std,0.8360060993070657
BIO_pam250,0.7896200466577139
AL_296,0.7532978740354028
AL_304,0.7505671996404483
AL_27,0.733343746060812
AL_34,0.7245645804610349
AL_32,0.7236967979127242
AL_33,0.6915497567154476
EK_6,0.6774116846687589
BIO_missing_count,0.673535269943535
AL_1,0.657875752985986
AL_29,0.6074761765226933
BIO_alblk06_max,0.5972275735809311
BIO_alblk65_mean,0.5779090282083749
AL_35,0.5778267976914834
BIO_alblk62_mean,0.5687111309810636
EK_2,0.5542748779225892
EK_1,0.5459432886000102
BIO_alblk63_mean,0.5194268289845173
AL_12,0.5083887183748258
BIO_alblk11_std,0.49610653198316595
AL_19,0.4929072824537498
AL_28,0.4792681272869377
BIO_alblk06_std,0.47819151654213526
AL_15,0.4468110403808557
BIO_alblk64_std,0.443715394243711
AL_151,0.43694734190555096
BIO_alblk60_std,0.43556115033454706
AL_4,0.42700985042977785
BIO_alblk05_mean,0.424459575814056
AL_37,0.4073779780051058
AL_319,0.3941442209589011
AL_330,0.38583090205588993
BIO_alblk02_mean,0.3740182897052292
AL_323,0.3736684933560052
BIO_alblk35_std,0.3648530057047718
AL_31,0.36020735601321674
AL_13,0.3534521582061796
AL_311,0.35212561647482904
AL_334,0.3519679487233855
BIO_alblk60_mean,0.3472582140797995
AL_38,0.34722789965259193
BIO_blosum62,0.34606920765206217
AL_26,0.3361590468615751
AL_289,0.33198876816634976
BIO_alblk57_std,0.32891296410374526
AL_325,0.32360383889341693
AL_302,0.320535842177487
BIO_alblk61_std,0.3174635802769172
BIO_alblk01_mean,0.3163183038269201
BIO_alblk01_std,0.31622538153095314
CAT_1,0.3045310694073769
AL_60,0.30233260513151533
BIO_alblk00_std,0.3007161636206318
AL_8,0.29991241850018213
BIO_alblk06_mean,0.29970834133286217
AL_178,0.2975519232762603
AL_287,0.2936089166123158
BIO_alblk14_std,0.28971528268371394
AL_329,0.28826342892239704
BIO_alblk21_std,0.2856659001867742
BIO_alblk62_std,0.2842462441883714
AL_310,0.27731083232266496
AL_306,0.2766766324143045
AL_295,0.2726348211574166
BIO_alblk35_mean,0.2689152350134214
BIO_alblk00_max,0.26489846576478937
AL_264,0.264147649403058
BIO_alblk19_max,0.2621242034927386
AL_36,0.261474806402474
AL_313,0.2607920150209175
AL_2,0.25982876026276347
AL_331,0.2583726736048783
BIO_alblk20_std,0.2564528123708396
AL_71,0.25447308509431366
AL_14,0.25424376904536583
AL_314,0.2504692861093754
BIO_alblk14_max,0.24797612210787867
BIO_alblk07_mean,0.24579008827328264
AL_156,0.24330088157983293
AL_318,0.2417572772627179
EK_4,0.24084641391738212
AL_308,0.2403828362711291
AL_333,0.23708339708045112
AL_23,0.23642624296621154
BIO_alblk31_mean,0.2317414671166853
BIO_alblk26_std,0.22965603390822223
BIO_alblk65_std,0.22923809005001825
AL_136,0.2281104094152142
BIO_alblk65_max,0.2251450306955959
BIO_alblk32_mean,0.22000344363188193
AL_211,0.2187110271931519
BIO_alblk30_mean,0.21606048105917056
AL_157,0.21512462841096203
AL_219,0.21394543472939787
AL_41,0.2133273250145713
AL_199,0.21247329383331515
AL_139,0.21238031508368124
AL_6,0.21214107849974662
AL_10,0.2100294974059246
BIO_alblk41_mean,0.2096943762181676
BIO_alblk66_mean,0.20914095527517115
BIO_alblk40_mean,0.20822150221886107
AL_45,0.2066062506757005
CAT_2,0.2046070000929398
BIO_alblk28_mean,0.2045222714911837
BIO_alblk15_mean,0.2042370431014519
BIO_alblk58_max,0.19901143633736243
AL_5,0.19896603731890306
AL_326,0.1983921764588922
BIO_alblk50_mean,0.19756856707328274
BIO_alblk45_mean,0.19580105437440193
AL_121,0.19549368012051532
AL_300,0.1953543868867469
AL_124,0.194930227958635
AL_9,0.1940330116959848
BIO_alblk59_mean,0.19385640080980662
BIO_alblk19_std,0.1935848438460003
AL_297,0.19330371393540807
BIO_alblk17_max,0.19265238135233198
BIO_alblk63_std,0.1924182685002202
AL_95,0.19146530843238388
BIO_alblk64_mean,0.19042463623063716
AL_50,0.1898310653757887
AL_147,0.18620768344097535
AL_328,0.1854015301986546
AL_266,0.1853065285669205
AL_59,0.18526508707894415
AL_74,0.18446192801241207
BIO_alblk29_std,0.1842630587644059
AL_159,0.183349736819482
AL_118,0.18290171508606012
AL_133,0.18132050073698566
BIO_alblk30_std,0.18059341618626998
AL_49,0.1800911219712285
AL_52,0.1792127629781981
BIO_alblk32_std,0.17741906218897502
BIO_alblk31_std,0.1759392231746717
AL_87,0.17571689710665872
AL_148,0.17537850665156526
BIO_alblk59_std,0.175054513458251
AL_39,0.17418965637477438
BIO_alblk19_mean,0.17395973682441018
AL_160,0.1738986053633611
BIO_alblk15_std,0.17381103833757194
BIO_alblk21_mean,0.17350619915177135
BIO_alblk13_mean,0.1728759061645124
BIO_alblk00_mean,0.17007081798311566
AL_25,0.1695468138071678
BIO_alblk25_std,0.16606740129460873
BIO_alblk01_max,0.1655757350246381
BIO_al_mean,0.16537132303012145
AL_100,0.1652617704777056
AL_17,0.1649788334024041
BIO_al_std,0.16432031363881996
AL_112,0.16424532342655246
AL_56,0.1634617397220533
BIO_alblk12_std,0.1627589001036132
AL_162,0.16176772598161282
AL_99,0.16167731233959312
BIO_alblk57_mean,0.15938139190756578
CAT_3,0.15932097998117983
AL_109,0.1589354909595094
AL_65,0.15888231626834398
AL_321,0.15837395728805598
BIO_alblk56_mean,0.15786408648672476
AL_305,0.15641980702792696
AL_315,0.15573893384735996
AL_111,0.15455992968607485
AL_127,0.15379576762478747
EK_3,0.15376332839876755
BIO_alblk34_std,0.1535657658487501
BIO_alblk02_max,0.1532367731520214
BIO_alblk43_std,0.15315643051909325
BIO_alblk29_mean,0.15298614039177547
AL_223,0.15268983950228876
AL_103,0.15250036911490666
BIO_alblk25_mean,0.1515340258017555
AL_90,0.15006564375094983
CAT_5,0.14813147248392097
AL_253,0.14778112193411147
AL_89,0.14629004589621225
BIO_alblk23_std,0.14594642563457164
AL_43,0.1452746700653868
CAT_4,0.14360535331135452
AL_181,0.14324967693604845
AL_279,0.14289427794489984
BIO_alblk16_std,0.1428069113625161
AL_206,0.14235262287727501
BIO_alblk61_mean,0.14231588909814868
BIO_alblk45_std,0.14147122431467613
BIO_alblk02_std,0.14015726700947317
AL_201,0.13987741737340895
BIO_alblk14_mean,0.13915191356154274
BIO_alblk11_mean,0.13898532833961205
AL_290,0.13846810443674035
BIO_alblk54_mean,0.13821225457275693
AL_322,0.13814019789704024
AL_188,0.1373266563250378
AL_54,0.13724440172610913
AL_186,0.13680017591770405
BIO_alblk46_mean,0.13675242431937173
BIO_alblk08_mean,0.13644957863478582
AL_68,0.1361708540504955
BIO_alblk53_std,0.13575265661236918
BIO_alblk52_std,0.13570618153230823
BIO_alblk24_mean,0.1352388499569568
AL_262,0.13480852360712545
BIO_alblk13_std,0.13409057934291901
AL_42,0.13349307955634743
BIO_alblk18_std,0.13332415759067387
BIO_grantham,0.13170542071961053
AL_120,0.13153357604746563
AL_69,0.1312904037325679
AL_123,0.13080129418295477
AL_241,0.13055607947436756
AL_76,0.13001776169798948
AL_228,0.12998367132000382
BIO_alblk13_max,0.12904212012303784
AL_174,0.1285908158016086
AL_138,0.12796362451415236
AL_282,0.12746084757268666
BIO_alblk47_std,0.12744394922225058
AL_238,0.12680565734901594
AL_172,0.1258669311081702
BIO_alblk36_std,0.12508601698737615
AL_21,0.12488698489067467
BIO_alblk20_mean,0.12437598414901921
AL_259,0.12378286978570086
AL_96,0.12346939730898347
BIO_alblk22_std,0.12252229360767693
AL_317,0.12156817715354354
AL_75,0.11969109518509898
BIO_alblk66_std,0.11887995123802768
AL_130,0.11779212674781683
AL_63,0.117768267904576
BIO_alblk26_mean,0.11741476494704124
BIO_alblk08_std,0.11704864455154813
AL_11,0.11678522258406383
AL_126,0.1160637536421251
AL_271,0.11519131207560154
BIO_alblk37_max,0.11486534668959844
BIO_alblk11_max,0.1125755030039139
BIO_alblk17_mean,0.11251897253321594
AL_64,0.1124996120856332
AL_239,0.11217102890365224
BIO_alblk22_mean,0.11052596454971042
AL_117,0.11029405976200508
AL_73,0.10941988094632937
BIO_alblk53_mean,0.10881706619876674
AL_78,0.10880454520137575
BIO_alblk16_max,0.10862078463805058
AL_105,0.10841664387096941
BIO_alblk27_mean,0.10802532769958369
BIO_alblk09_std,0.10735001534235045
AL_150,0.10732603506630196
AL_53,0.1071112300468795
BIO_hydro_diff,0.10642401095200371
AL_114,0.10569656605546329
EK_8,0.10519592177921364
AL_141,0.10510890609568628
AL_177,0.1048349491678181
AL_83,0.10434464668143369
BIO_alblk46_std,0.1041893704103756
BIO_alblk09_mean,0.10384869909880867
AL_142,0.10381507574193502
AL_57,0.1034755427335147
AL_102,0.10306686422297481
AL_132,0.10190991178424072
AL_55,0.10184994672842114
AL_249,0.10143990689907519
AL_234,0.10143554987666903
AL_235,0.10140019203275896
BIO_alblk58_mean,0.1011903796674847
AL_72,0.10116154386704382
AL_58,0.1003738464326771
BIO_alblk49_mean,0.09968719322287706
AL_67,0.0995703324864356
AL_175,0.09937608324571648
BIO_alblk24_std,0.09933519301660604
BIO_alblk18_mean,0.09896206217006442
BIO_alblk51_std,0.09850415380118843
AL_106,0.0982742171381856
BIO_alblk34_mean,0.09739975887763705
AL_82,0.09731006115361943
AL_283,0.09730562156256437
EK_5,0.0972065813471196
AL_222,0.09707711999562227
AL_154,0.09681185714335962
AL_268,0.09654446909130368
AL_79,0.09644892945850583
AL_165,0.09631705490674645
AL_24,0.09602770125215891
AL_210,0.09599215313695883
BIO_alblk39_mean,0.09597631070489969
AL_77,0.09455216159294558
AL_66,0.09454029616001478
AL_281,0.09359974989350861
AL_86,0.09351857047353462
BIO_alblk10_mean,0.09350413517592324
BIO_alblk50_std,0.09347787301725471
AA_2_T,0.09266607742592561
AL_229,0.0924920367089909
AL_16,0.0924243330128747
BIO_alblk04_mean,0.09208178935465705
BIO_alblk33_mean,0.09109257576544343
BIO_alblk38_mean,0.09066115348872072
AL_144,0.09065179882138642
AL_163,0.09025139361066234
BIO_alblk49_std,0.08998000198490577
AL_198,0.08996084350225786
AL_91,0.08900457983536302
BIO_alblk44_std,0.08888433056384706
AL_203,0.08831146915089064
AL_18,0.08763040414493141
BIO_alblk42_mean,0.08702932651597575
AL_135,0.08585479886505151
AL_145,0.08532952073091318
BIO_alblk33_std,0.08494914207335487
AL_81,0.08476182688682762
AL_291,0.08463857244961864
AL_108,0.0840028180192609
AL_168,0.08381672739490512
BIO_alblk23_mean,0.08341227547430623
AL_194,0.08339731130829271
AL_265,0.08314997477269923
AL_230,0.08274660038587227
AL_257,0.08245055504086887
BIO_alblk12_mean,0.08229736310709666
BIO_alblk10_std,0.08147437535073151
AL_70,0.08127229717749515
AL_224,0.08115115607599119
BIO_alblk03_max,0.08108661510147244
AL_180,0.08053705696429614
BIO_alblk44_mean,0.07963971358775665
AL_115,0.07931601361020128
AL_183,0.07917151133415233
BIO_alblk58_std,0.07869152030568706
AL_98,0.07824106292697428
BIO_alblk47_mean,0.07797504681296534
AL_226,0.077574650804135
