,importance
BIO_ek_mean,7.33420021212693
BIO_ek_max,5.783511843587461
EK_9,4.102162803409696
EK_7,3.502885788075896
BIO_grantham,2.839043207745014
BIO_ek_std,2.819227875166479
EK_4,2.690127924013974
EK_5,1.8417034605895561
EK_2,1.4481282305199392
BIO_blosum62,1.302052652659717
AL_13,1.2985028467140638
AL_215,1.26469042233716
AL_8,1.1735244929594508
AL_9,1.1610473678903135
EK_3,1.080914159613742
EK_8,0.9023637560195855
AL_52,0.8831781171499065
AL_24,0.8772270983420519
BIO_hydro_diff,0.8624254761035853
AL_14,0.8329723127110038
EK_6,0.8079486260730484
BIO_alblk01_mean,0.7639796384070963
AL_7,0.760294079767102
AL_18,0.7493178443002171
AL_184,0.7219389505859057
BIO_pam250,0.6729120573119177
BIO_al_std,0.6592204773664988
BIO_alblk09_mean,0.6384489891471878
BIO_alblk01_std,0.6170573026442882
BIO_alblk03_mean,0.583665709075886
AL_16,0.5630770104501713
AL_22,0.5368909435845826
AL_19,0.5189039785940317
AA_1_R,0.5115329376027683
BIO_alblk60_std,0.5025383184122729
AL_26,0.48926630991197684
AL_322,0.4643121694764473
BIO_alblk04_max,0.46143315586776995
EK_1,0.44517680976452656
AL_323,0.4424758380857653
BIO_alblk07_std,0.43690911977324715
BIO_alblk33_mean,0.41423872386398475
AL_315,0.4005001809896302
BIO_alblk03_std,0.3848422488530257
AL_40,0.38438411453276033
BIO_alblk02_std,0.36097158489206727
BIO_alblk64_mean,0.3529346824998287
BIO_alblk36_max,0.3479662083650571
BIO_alblk14_std,0.34606704047607745
BIO_alblk03_max,0.3444619380695635
AL_15,0.33776901215762967
CAT_1,0.3340131457093911
BIO_alblk62_std,0.322120844183891
AL_23,0.31500116023000596
BIO_alblk13_std,0.31406237294698475
BIO_alblk02_mean,0.31083234483053124
AL_296,0.31061335404452955
BIO_alblk02_max,0.3082025254746526
BIO_alblk50_std,0.307926112654231
BIO_missing_count,0.30715403954563236
BIO_alblk05_max,0.3070615157834499
AL_330,0.3009743476279726
AL_50,0.29833063200014137
AL_302,0.2923143338905783
BIO_alblk60_mean,0.290211943016526
AL_48,0.28756581365553124
BIO_alblk61_std,0.28726962749077256
AL_328,0.2840594063273165
AL_77,0.2804925980889356
AL_186,0.2788532482717888
AL_20,0.27235337783318225
BIO_al_mean,0.26725744128837564
AL_61,0.26546864871945464
AL_168,0.26429501650835
BIO_alblk10_std,0.26229220370910045
AL_17,0.2619595515021193
AL_11,0.2614047505532551
AL_66,0.2567596075192963
AL_10,0.2537312774081149
BIO_alblk64_std,0.24294740708056012
AL_251,0.24213251625491883
BIO_alblk42_std,0.2413279378893031
CAT_3,0.23648083342372966
BIO_alblk59_std,0.23200259395222833
AL_321,0.22268107849452132
BIO_alblk01_max,0.2208269675073759
BIO_alblk12_std,0.21715546146835574
AL_68,0.21273882800054295
BIO_al_max,0.21187885609746004
BIO_alblk36_mean,0.20778503202711746
AL_306,0.2068788540058947
AL_2,0.20567317165028082
AL_3,0.194324012552693
AL_94,0.1934754859179858
AA_1_L,0.19315778202773523
AL_70,0.19304984710515705
BIO_alblk63_std,0.19302237464469232
BIO_alblk58_mean,0.18808800489660488
AL_139,0.1880841179477197
AL_79,0.1877627637162969
AL_224,0.18770731622164205
BIO_alblk44_std,0.185986113393875
BIO_alblk65_std,0.1859415598500575
BIO_alblk04_std,0.1818668220269218
BIO_alblk37_mean,0.18096026844434238
BIO_alblk08_std,0.17983307859047307
AL_293,0.17962865546097462
BIO_alblk13_mean,0.17931507954428227
BIO_alblk62_mean,0.1754024766023486
BIO_alblk59_mean,0.17281526413996887
BIO_alblk14_max,0.17207286623271686
BIO_alblk65_mean,0.17202416194862336
BIO_alblk30_std,0.1699733878407145
AL_151,0.16829326755136392
BIO_alblk11_std,0.16775446357353582
BIO_alblk43_std,0.16773266503011552
BIO_alblk10_max,0.16717219006329231
BIO_alblk04_mean,0.16620381526775263
AL_49,0.16611941315801862
AL_154,0.16565692153890646
AL_55,0.1643747414185927
AL_88,0.16392749450002445
BIO_alblk10_mean,0.16362476046623203
AL_214,0.16280396529510616
BIO_alblk61_mean,0.16137145789161833
BIO_alblk14_mean,0.161088341421161
BIO_alblk37_max,0.16078905213192513
AL_177,0.16007471668520096
AL_183,0.15926834147570998
BIO_alblk09_std,0.1575814964235313
AL_329,0.15595119777365346
AL_58,0.15441197219830072
BIO_alblk19_max,0.15427348102629093
BIO_alblk38_mean,0.1533076870934577
BIO_alblk21_mean,0.1528563109780402
BIO_alblk16_std,0.1501398332593729
AL_172,0.1496664822668397
AL_65,0.14828916058588448
AL_175,0.1481808695520403
AL_166,0.14566738504086152
AL_63,0.14349223052810428
AL_127,0.1419023694066234
AL_12,0.14044605661723192
AL_169,0.13835105608854267
BIO_alblk15_mean,0.138335974729241
AL_298,0.13696658124398564
AL_301,0.1368255634840392
BIO_alblk36_std,0.1361568650878963
AL_305,0.13298468270652017
AL_318,0.13212365149421956
AL_39,0.1311210695193049
AL_260,0.13098159778595708
BIO_alblk40_mean,0.12802887308114805
AL_165,0.12710747281961293
BIO_alblk16_max,0.1261581684217584
AL_43,0.12495050254742965
BIO_alblk27_mean,0.12302087646151479
AL_157,0.12274121305247235
AL_310,0.12196794198962065
BIO_alblk07_mean,0.12190734754743135
BIO_alblk40_std,0.12181636063050763
AL_211,0.12156737378314049
AL_333,0.1209682282049523
AL_64,0.12058500040607392
BIO_alblk27_std,0.11795609794487442
AL_327,0.11766002110008374
AL_73,0.11720634405039539
BIO_alblk48_mean,0.11665017422687447
BIO_alblk66_max,0.11604087616829459
AL_124,0.1158607080585546
AL_268,0.11543562241537589
BIO_alblk33_std,0.11501974567523021
AL_51,0.11498510531502495
BIO_alblk28_std,0.11494511121184522
AL_217,0.11367063674239505
BIO_alblk26_std,0.11328098728154785
AL_297,0.11274430009640932
BIO_alblk19_std,0.11265873234325507
BIO_alblk20_mean,0.11230255191188296
BIO_alblk56_std,0.11212208758373927
AL_135,0.11167826727055127
AL_123,0.11165879446663887
BIO_alblk29_mean,0.11124413327401719
AL_21,0.11011873554792102
AL_42,0.10943905107953263
AL_285,0.10873245073071307
AL_53,0.10857683007972355
BIO_alblk62_max,0.10795746715428471
AA_1_D,0.10767353765366239
BIO_alblk05_mean,0.10731447860135379
AA_2_C,0.10592500177507473
BIO_alblk00_mean,0.1058426557404271
AL_287,0.10568522970840002
BIO_alblk25_mean,0.10543519667267634
AL_331,0.10446626734763047
BIO_alblk25_std,0.10377848641382022
AL_92,0.10360388282945121
AL_295,0.10318351133802159
AL_74,0.10246368947103843
AL_317,0.10171033875901994
BIO_alblk31_std,0.10133746260642243
BIO_alblk07_max,0.1013348060352254
