,importance
EK_7,5.5156841009714865
AA_1_R,2.5685888432727064
BIO_ek_mean,2.324705968166851
BIO_blosum62,2.1861152571870845
BIO_ek_max,1.797478948073163
EK_2,1.690488095618591
CAT_1,1.5515499646449444
EK_4,1.463005106473553
AL_327,1.4587846891888792
BIO_alblk05_max,1.2117167141142304
EK_6,1.1776828432925908
BIO_alblk05_mean,1.1183955291484682
BIO_ek_std,1.0120203404149415
BIO_alblk01_mean,0.988196657140261
BIO_alblk65_std,0.980951797136256
AL_7,0.932467783312417
AL_16,0.8978308947565038
AL_26,0.8835277693869257
AL_11,0.8410973236506729
BIO_alblk01_std,0.7983426175148707
AL_215,0.7812115007234869
AL_13,0.7530396264720458
BIO_alblk01_max,0.7481347536335414
AL_10,0.7109790495794102
BIO_alblk65_max,0.6972055184307524
BIO_grantham,0.6376684198651766
AL_12,0.5994903286607765
AL_8,0.5986205007020992
BIO_al_mean,0.5720243608137235
BIO_alblk65_mean,0.5572247032014024
BIO_alblk02_mean,0.5513501239679112
BIO_alblk62_std,0.548600908792447
BIO_alblk58_max,0.5331539110492819
AL_9,0.5297177125944569
BIO_alblk02_std,0.5259393071535967
BIO_alblk03_std,0.48643088983375443
BIO_alblk03_max,0.47829428523068057
AL_321,0.47743413660823625
AL_91,0.4678318121537928
AL_287,0.4635914886787673
BIO_alblk16_mean,0.46067886726114127
AL_1,0.4541121415046188
AL_319,0.4475542106540454
BIO_alblk02_max,0.44681837720943074
AA_2_W,0.4439876121861164
AL_315,0.44229950335509916
BIO_alblk08_std,0.43233073113302234
AL_328,0.4287762821560002
BIO_alblk57_std,0.4257618484800081
BIO_alblk27_std,0.4192358718647153
AL_318,0.41829159480382455
AL_295,0.40865158372696014
AL_14,0.40051683752432365
BIO_alblk03_mean,0.3993175944512912
EK_8,0.39555442572548283
AL_22,0.3942972271889505
AL_23,0.3884367045454442
AL_15,0.3772415626313198
AL_24,0.3737865396610135
AL_314,0.36155026044549154
AL_184,0.35445892283666386
EK_9,0.3536581324569775
BIO_alblk60_std,0.3464550337242703
BIO_alblk64_mean,0.34516382281688684
AL_186,0.3409495249251794
AL_333,0.33951403936043073
AL_305,0.33923574212296526
BIO_alblk59_mean,0.33785842412598205
AL_19,0.33140166301664103
BIO_alblk66_mean,0.3295460754174395
BIO_alblk00_max,0.3245479139462112
AA_2_A,0.3237406857459041
EK_5,0.3235987944476123
BIO_alblk59_std,0.3213189937886322
BIO_alblk14_std,0.31955599006971047
AL_17,0.31937122792440864
AL_251,0.31350186301307603
AL_330,0.31150300721567514
AL_68,0.3019992750174521
BIO_alblk16_std,0.2977819402604257
BIO_missing_count,0.29476413159708786
AL_50,0.28968383570828454
BIO_alblk04_max,0.28757572405095616
BIO_alblk04_mean,0.28732420134490866
BIO_pam250,0.28517613223451266
BIO_alblk64_max,0.27858680542592096
AL_331,0.27857435588296564
BIO_alblk00_mean,0.27816717239412964
AL_297,0.2768107793330793
AL_317,0.27590926253404363
AL_21,0.2756236764444166
AL_298,0.2747888857592749
BIO_alblk12_std,0.26600457386259296
BIO_alblk63_mean,0.26570080656568373
AL_306,0.2616744992089505
AL_67,0.2613118018851973
AL_3,0.26103569425609596
CAT_5,0.26080102217777934
BIO_alblk66_max,0.2605466796754853
BIO_alblk63_std,0.2604436384265096
AL_334,0.2587324149664349
AL_329,0.25502741400818113
BIO_alblk00_std,0.25370899430724425
AL_59,0.25362554879442034
AL_296,0.2505254224062016
AL_302,0.24868010196638055
EK_1,0.24760642015231138
AL_332,0.24739222303850839
AL_322,0.24593232472361892
BIO_al_std,0.2457382364422828
AL_52,0.24144529867595846
BIO_alblk07_mean,0.2397618405990996
AL_18,0.23837677987662512
AL_4,0.2339436473626182
BIO_alblk61_std,0.23387340652146443
BIO_alblk13_mean,0.23232342868779715
BIO_alblk11_mean,0.22718436798380243
BIO_alblk62_mean,0.2269823597169501
BIO_alblk60_mean,0.21884334537861044
AL_188,0.21763845136298943
AL_325,0.21573611098507892
AL_83,0.21567914665597945
AL_79,0.21546377719729598
CAT_3,0.21245715076062166
AL_71,0.2117542382843956
AL_320,0.2092802652435551
AL_260,0.20794035482336154
AL_326,0.2078642113623846
BIO_alblk13_max,0.20576539642876993
BIO_alblk08_mean,0.20575575187385478
AL_25,0.20346831303766888
BIO_alblk64_std,0.2007626677532349
BIO_alblk07_max,0.1984304624081719
BIO_hydro_diff,0.1971132504789454
AL_54,0.19555712867119507
BIO_alblk08_max,0.19534965831655435
AL_82,0.19228324977022931
AL_5,0.19105536042708687
AL_43,0.19047401579888248
AA_2_P,0.18967530953864728
BIO_alblk57_mean,0.1854284243724344
BIO_alblk30_std,0.1851699235299379
BIO_alblk07_std,0.18031572135823654
EK_3,0.18001030873722149
BIO_alblk04_std,0.1786914766973136
CAT_4,0.17788260749372956
AL_136,0.17505165888137744
AL_20,0.17153570777868507
AL_124,0.16813423216525478
AL_47,0.16568505199856232
AL_311,0.1640971493874787
AL_2,0.16310098236168832
BIO_alblk44_mean,0.16307726451949925
BIO_alblk47_std,0.1628365987602251
BIO_alblk15_std,0.1608621843093639
AL_74,0.16038127317044432
AL_58,0.15886165087586898
AL_310,0.15814308176695074
AL_73,0.15760480327833776
BIO_alblk66_std,0.1572072387796987
AL_166,0.1569312243023881
AL_175,0.1560571209073538
BIO_alblk51_std,0.15466996982607067
BIO_alblk38_mean,0.15145065529666565
AL_224,0.15054781570789552
AL_70,0.15025712578480366
BIO_alblk47_mean,0.14868982219271518
BIO_alblk61_mean,0.14822444830275622
BIO_alblk10_mean,0.14463121273730511
AL_255,0.14356922756304322
AL_216,0.1422077089667277
AL_61,0.14145988119558886
AL_190,0.1381572568622314
AL_6,0.13705607681749993
AL_323,0.13699348370441272
BIO_alblk54_std,0.13697660001822295
BIO_alblk29_std,0.1358193899766992
AL_219,0.1349117736156824
BIO_alblk11_std,0.13434730283294807
AL_40,0.13385619665167198
BIO_alblk28_std,0.13362657493369554
AL_151,0.13198628986874805
AL_238,0.13154542014184345
BIO_alblk42_std,0.13101922540188743
AL_207,0.13012134478625142
AL_94,0.12989389982173366
BIO_alblk19_std,0.12988013621940558
AL_55,0.1289392233308323
BIO_alblk09_std,0.12710008261918376
BIO_alblk35_mean,0.12625368080502689
BIO_alblk13_std,0.12592004141380325
AL_57,0.12539642094929743
BIO_alblk60_max,0.12538151455064958
BIO_alblk62_max,0.12200743476386619
BIO_alblk09_mean,0.12193826833457277
BIO_alblk18_std,0.11997880310917594
BIO_alblk27_mean,0.11909599463906984
AL_183,0.11825006893148934
AL_148,0.11821982114815814
BIO_alblk12_mean,0.11814473813443638
BIO_alblk10_max,0.11756301541896612
AL_28,0.11717713016510871
AL_266,0.11709580997694832
AL_178,0.11664039415309257
AL_41,0.11640773235686534
AA_1_N,0.11587681323855188
BIO_alblk35_std,0.11539451034063633
AL_56,0.11526824009116723
AL_93,0.11386412541546453
AL_312,0.11339815269120021
AL_169,0.11311425763868199
AL_115,0.11231027513358402
BIO_alblk40_mean,0.11209688205762187
BIO_alblk33_std,0.11198168908566164
BIO_alblk18_mean,0.11134538957820275
AA_2_R,0.11124729265907692
AL_46,0.11010822776830369
AL_53,0.10992617304227614
AL_211,0.10947842100092389
AL_62,0.10828658566360347
BIO_alblk10_std,0.10688749517396248
AL_42,0.10655631068676223
AL_65,0.10643603863578247
BIO_alblk31_std,0.10511902431709785
AL_39,0.10464324099782248
AL_194,0.10447711426882855
AL_97,0.10376391403336245
AL_181,0.10363246169521759
BIO_alblk36_max,0.10352422724044033
BIO_alblk42_mean,0.10322906181505412
AL_44,0.10309608238523549
AL_230,0.10180896123911361
BIO_alblk50_mean,0.10177397843971936
BIO_alblk58_mean,0.10156672813210832
AL_103,0.10148578830855104
AL_32,0.10135885812595158
AL_304,0.10013110127572329
BIO_alblk29_mean,0.10006896959730979
AL_49,0.09989212831827411
AL_300,0.099214928590758
BIO_alblk09_max,0.09864054040720713
BIO_alblk44_std,0.09790602026100234
AL_76,0.09681687598550667
AL_222,0.09511985505731017
AL_172,0.09450635630628743
AL_112,0.09256533727277075
BIO_alblk06_max,0.09211888431509498
AL_145,0.09125987859993763
BIO_alblk37_mean,0.09124042878425823
AL_133,0.09078360893495364
BIO_alblk26_mean,0.09076147214186493
AL_90,0.08986504124366924
AL_308,0.08981607000589106
AL_262,0.08904939769659395
AL_109,0.08782350870443725
BIO_alblk24_std,0.087726904976939
AL_234,0.08732270190195565
BIO_alblk33_mean,0.08701885214793463
BIO_alblk52_std,0.08623149984819778
AL_60,0.08565914076942048
AL_278,0.08524795300909957
AL_138,0.08521671246908638
AL_271,0.08516555182271326
AL_163,0.08494502312596257
BIO_alblk23_std,0.08417485929281784
AL_290,0.08411771292632107
AL_139,0.083609355658746
AL_291,0.08357003048710633
AL_174,0.08343783906396848
BIO_alblk59_max,0.08226463331643133
AL_253,0.08168448242367075
AL_259,0.0815225319644127
BIO_alblk30_mean,0.08085971068078086
AL_88,0.08085065005371657
BIO_alblk21_std,0.080658715007541
AL_159,0.08051644177961297
BIO_alblk41_mean,0.08048033294339722
BIO_alblk41_std,0.07992130949615432
BIO_alblk28_mean,0.07866242853832175
AL_303,0.07860087184870468
AL_203,0.07857850894547233
AL_235,0.07834845286196354
BIO_alblk37_max,0.07795588418389698
AL_202,0.07785434557444829
AL_69,0.07765446413496284
AL_35,0.0775672038846746
BIO_alblk17_mean,0.07677368547154576
AL_118,0.07669718375678139
AL_64,0.07610102319921527
BIO_alblk53_mean,0.07551238641852147
AL_81,0.07533780976277724
AL_243,0.07502050718469329
AL_130,0.07470986329448778
AL_105,0.07469444147707241
BIO_alblk43_std,0.074615108584026
BIO_alblk36_mean,0.07403074383439752
BIO_alblk14_mean,0.07389889220571676
AL_277,0.07323154077021846
BIO_alblk61_max,0.07273460987225525
BIO_alblk17_max,0.07258990431024973
AL_223,0.07231012061033408
BIO_alblk40_std,0.07222622141085908
BIO_alblk48_std,0.07215197861257976
AL_102,0.07136214799100844
BIO_alblk51_mean,0.07123833981099673
AL_301,0.07092129718768311
AL_241,0.07048312748383818
AL_33,0.07021570751307818
BIO_alblk48_mean,0.06995343220114349
BIO_alblk23_mean,0.0689959160174689
BIO_alblk46_std,0.06895859496964289
AL_78,0.0682348837849909
AL_313,0.06819695231324338
BIO_alblk15_mean,0.0676481713437895
AL_142,0.06762127888923128
AL_282,0.06755174419043077
BIO_alblk20_std,0.06681658315282221
BIO_alblk06_std,0.06636439693577613
AL_227,0.06624703795401826
BIO_alblk56_std,0.06597540099852031
BIO_alblk19_max,0.06572176695873135
BIO_alblk34_mean,0.06543149891928292
AL_239,0.06531244484112195
AL_121,0.06516714784726903
AL_126,0.0648115300998863
BIO_alblk46_mean,0.06441683692053132
BIO_alblk24_mean,0.06433228793596893
BIO_alblk49_mean,0.06419208865749629
AA_2_Y,0.06402515837685076
AL_199,0.0632617199362149
AL_210,0.06297465320816717
BIO_alblk06_mean,0.06262964188492172
AL_205,0.06253298030996313
BIO_alblk22_std,0.062041528303407666
AL_264,0.06175583047341014
AL_100,0.061301849040044376
AL_209,0.06122433240237215
AL_38,0.061214358489397894
AL_213,0.061160757906454054
BIO_alblk20_mean,0.060796459718905835
BIO_alblk54_mean,0.06068448603672707
AL_96,0.05990852090401805
AA_1_P,0.05990608988716806
BIO_alblk21_mean,0.05948495149609967
BIO_alblk32_std,0.059225348318428114
CAT_2,0.059180106828495546
BIO_alblk11_max,0.05889227984921756
AL_177,0.058849219620455306
AL_187,0.05859807440537386
AL_307,0.05845240220135702
BIO_alblk25_mean,0.05838277996261802
AL_157,0.058248655677942296
AL_75,0.05786970039829466
BIO_alblk14_max,0.057699027259611145
