,importance
EK_7,3.616893499805814
BIO_blosum62,2.1928183144107902
BIO_alblk66_std,2.074811698072936
EK_6,1.7890308574728047
EK_9,1.759293920809236
BIO_grantham,1.7318453280055732
AL_300,1.6592466664337422
AL_15,1.538356085778053
EK_5,1.456191743527792
CAT_1,1.449140197214621
BIO_ek_max,1.4168174538377638
BIO_alblk34_mean,1.2568400513230924
EK_8,1.2398614316522234
AL_7,1.238754659345725
BIO_alblk59_mean,1.1635872089825634
BIO_ek_mean,1.1098922570108996
BIO_ek_std,1.0282000857808324
BIO_alblk59_std,0.9776513831558621
BIO_al_mean,0.953338719031618
AL_13,0.9233128832093787
AL_298,0.9209388802902359
BIO_alblk65_std,0.8969718588519309
AL_12,0.8916844295967772
EK_2,0.8877587780303392
AL_313,0.8757006740221815
BIO_alblk05_max,0.8582301234504748
AL_26,0.8370585004567127
AL_8,0.8125615336998306
AL_49,0.7572601456083766
AL_331,0.750661325039317
BIO_alblk60_mean,0.7427533593855357
BIO_alblk61_std,0.7249687473299591
BIO_alblk66_mean,0.7216888611816248
AL_329,0.7143498354646516
BIO_hydro_diff,0.7113269218737492
BIO_alblk05_mean,0.7004388874217451
AL_319,0.6586281961705972
AL_318,0.6549803819927926
AL_302,0.6486697364566387
EK_4,0.6429483159928148
BIO_alblk01_std,0.6405333326357108
BIO_alblk01_mean,0.6335753709835467
AL_14,0.6077472204011436
AL_311,0.6003905240971369
BIO_pam250,0.596201351571418
BIO_alblk64_std,0.5870414634176877
AL_333,0.5700048416517812
BIO_alblk65_max,0.556715107238055
AL_315,0.5542026186921183
AL_171,0.5472133347963377
BIO_alblk18_std,0.5348730400739585
EK_1,0.5342823648219731
BIO_alblk62_mean,0.5294217416971265
BIO_alblk34_std,0.518749160667669
BIO_al_std,0.5183193018408947
AL_317,0.5109986676094536
AA_1_K,0.5029022430223307
BIO_alblk65_mean,0.4994976038142453
AL_11,0.482967575687581
AL_306,0.48092261868756436
AL_327,0.4719666775294226
BIO_alblk26_mean,0.4670876274841209
AL_299,0.4553049936818011
AL_9,0.43579506800618883
AL_330,0.4331785179339051
BIO_alblk37_mean,0.4288525896422891
BIO_alblk63_mean,0.4267239055015419
AL_314,0.41796320705699974
AL_328,0.4031556935691757
EK_3,0.3977191901764459
BIO_alblk01_max,0.3954968514226798
BIO_alblk59_max,0.3920139040441589
BIO_alblk64_mean,0.3909528241466263
BIO_alblk62_std,0.38154349040582913
AL_22,0.37874494767236855
AL_186,0.3741605195217737
AL_25,0.36929472589806145
AL_301,0.36559300927872734
AL_325,0.35840823591792065
AL_48,0.3580317456372411
AL_10,0.3571939628050719
BIO_alblk60_max,0.3497804084415356
BIO_missing_count,0.34468307992079283
AL_88,0.3338592280761861
BIO_alblk63_std,0.3313124688031265
AL_84,0.3159366165717672
AL_82,0.3148634769510096
AL_40,0.3140027110906577
AL_133,0.31287936512648473
CAT_4,0.29783703490447866
AL_297,0.2925588726585535
AL_326,0.2868027916019057
BIO_alblk02_mean,0.2858934319350564
BIO_alblk58_mean,0.2820646200916915
BIO_alblk08_std,0.2784977927827313
AL_87,0.268920047697606
BIO_alblk02_max,0.2660289694618609
CAT_2,0.26062755657178194
AL_277,0.26048939467585125
AL_89,0.25799864028979375
AL_323,0.2571273405803014
BIO_alblk17_mean,0.25647839583053317
BIO_alblk22_mean,0.25247489362408215
AL_141,0.2517763147251349
CAT_5,0.2509354378502506
BIO_alblk09_mean,0.238797370190232
BIO_alblk58_max,0.23832307376216208
AL_150,0.23753841832821437
BIO_al_max,0.23572062376383954
BIO_alblk19_std,0.23525958774481404
AL_72,0.22681152336653887
AL_118,0.22189301694573396
AL_123,0.21856352832194767
BIO_alblk60_std,0.21782369389852957
AL_283,0.21647923453759935
BIO_alblk02_std,0.21514647695863479
AL_178,0.21476636774074293
BIO_alblk32_mean,0.2113198019552321
AL_305,0.20841565861930328
AL_322,0.2069860422338509
BIO_alblk24_mean,0.20498885043223208
AL_50,0.20465861835334537
AL_295,0.20304560059688764
AL_286,0.20300614575977133
BIO_alblk20_std,0.19948505228419405
AL_296,0.19560029992705838
BIO_alblk19_mean,0.19219845631537877
AL_172,0.19019407311250597
AL_121,0.1877410472025207
AL_310,0.18566704082744737
AL_334,0.17988911991200413
CAT_3,0.17603201574135832
BIO_alblk35_std,0.17527035419529743
BIO_alblk04_std,0.17523630320429748
AL_97,0.17311176530584374
BIO_alblk37_max,0.17171936345075392
AL_19,0.1698492746662708
AL_102,0.16836862334391203
BIO_alblk15_std,0.16798378827877117
AL_24,0.16665451512601664
BIO_alblk24_std,0.1648427235848331
BIO_alblk04_mean,0.16172280621052038
AL_86,0.16016523526295873
AL_142,0.15885621117067608
AL_112,0.15747013456752237
AL_175,0.15346375603833812
AL_126,0.15285593762930874
AL_169,0.15043847748670433
AL_45,0.1489224442540597
BIO_alblk14_std,0.14848955765021937
AL_54,0.146824574833954
BIO_alblk03_max,0.14443135714966293
BIO_alblk31_std,0.1443940366093517
AL_93,0.14212116754405263
BIO_alblk21_mean,0.1412310892596018
BIO_alblk49_mean,0.14117496014322942
AL_43,0.13884197610197177
BIO_alblk11_mean,0.13859203558139435
AL_99,0.13759039406021795
AL_115,0.13687443545666692
BIO_alblk30_std,0.1352104548375219
AL_145,0.13519519387051687
BIO_alblk21_std,0.13491226940337456
AL_98,0.13457066674087817
BIO_alblk33_std,0.13388513894589874
AL_100,0.13269793143862657
BIO_alblk22_std,0.13114053633979153
AL_294,0.1302887443320599
AL_129,0.1300617157249324
BIO_alblk18_max,0.12987779775515854
BIO_alblk38_mean,0.12916065914482702
AL_160,0.12905444018307882
AL_63,0.12879484639102984
AL_260,0.12871934730509837
AL_138,0.12800056551170003
AL_246,0.12761274917679696
AL_279,0.12722853738500978
AL_81,0.12694760491740753
BIO_alblk61_mean,0.12592208688995213
AL_156,0.12561730570056678
AL_153,0.12550153286972723
AL_117,0.12498080317844625
AL_46,0.12497048419390226
BIO_alblk28_std,0.1248169852284829
BIO_alblk55_mean,0.12413644207218884
BIO_alblk14_max,0.12027186774328598
BIO_alblk54_std,0.12016178707972584
BIO_alblk29_mean,0.1182123112192777
BIO_alblk07_std,0.11784523135455557
BIO_alblk09_std,0.11578915206289937
AL_57,0.11411863255001446
AL_130,0.1139360295657162
AL_103,0.11236828068328016
BIO_alblk51_std,0.11180749808845739
AL_106,0.1116441015684571
AL_85,0.11055162148665718
AL_165,0.1102580601854811
AL_266,0.10938852876327596
AL_92,0.109165444173329
AL_247,0.10853873230735803
BIO_alblk57_mean,0.10769074527050823
AL_17,0.10646525010495163
AL_181,0.10529806990724819
BIO_alblk38_std,0.10347041030115109
BIO_alblk17_std,0.10346708269654648
BIO_alblk20_mean,0.10101772198389307
AL_79,0.0985147874108869
AL_154,0.0985100042442807
AL_18,0.09589387598094168
AA_2_N,0.09510960729972187
BIO_alblk36_max,0.09500228072535159
BIO_alblk19_max,0.09497042774904052
AL_64,0.09445873966409984
AL_151,0.09271125531155258
AL_230,0.09243108326334108
AL_20,0.09183062563146263
AL_177,0.09146715316521077
BIO_alblk25_mean,0.09139244752294644
AL_109,0.09115003800500124
BIO_alblk23_std,0.09092322805520973
AL_163,0.09017076628157293
BIO_alblk17_max,0.0882543212037082
BIO_alblk27_std,0.08790693182061673
AL_61,0.08783374770387833
AL_96,0.08664233934527502
BIO_alblk13_mean,0.08598609086605534
BIO_alblk61_max,0.08562176947178039
BIO_alblk14_mean,0.08511729949091569
AL_60,0.08443597166925693
BIO_alblk46_std,0.08375986038728445
AL_136,0.08281072357686439
BIO_alblk36_std,0.08253505130615073
AL_275,0.081326870298349
AA_2_Q,0.08102659247761643
AL_166,0.0807592270239126
BIO_alblk28_mean,0.08075467958819994
AL_42,0.079797651187547
AL_77,0.07929732972590227
AL_159,0.078193800094511
AL_147,0.07752479186122484
BIO_alblk55_std,0.07707963882827219
BIO_alblk07_mean,0.07702693655066896
AL_59,0.07693244828434764
AL_95,0.07573969888598453
BIO_alblk33_mean,0.07553693582506615
BIO_alblk49_std,0.0746077166718943
BIO_alblk13_max,0.07398512780169145
BIO_alblk13_std,0.07368696139985467
AL_120,0.07360240522866214
BIO_alblk52_mean,0.07356796162164136
AL_321,0.0733943725701751
BIO_alblk52_std,0.07334695605069491
BIO_alblk04_max,0.07314150941260819
AL_67,0.07310649656302701
BIO_alblk44_mean,0.07246921829785621
AL_135,0.07193238429650065
BIO_alblk11_std,0.07192631501412035
AL_308,0.07161269945604815
BIO_alblk26_std,0.07049303903219972
AL_162,0.07038833391013041
AL_52,0.07028101584786287
BIO_alblk29_std,0.06992360691454667
AL_21,0.06972928718868418
AL_271,0.06945941903052369
AL_287,0.06922165528319693
AL_69,0.06894401144363989
AL_290,0.0683512959282521
AL_316,0.06824925929363504
BIO_alblk12_mean,0.06774002004224504
AL_254,0.06758123636321685
AL_132,0.06639859938279938
AL_320,0.06585094137317203
AL_255,0.06521684597629632
AL_238,0.06518668190421957
AL_203,0.06492623280618529
AL_70,0.06477320504666453
AL_188,0.06436337142493001
AL_127,0.06317121709893124
AL_258,0.06292003730074107
AL_206,0.06277836947742806
AL_51,0.06267881397244729
BIO_alblk40_std,0.062125738828368395
AL_183,0.06202764301684549
AL_16,0.06200808039260266
BIO_alblk50_mean,0.06177268115711636
AL_184,0.06164056784969032
AL_144,0.06028128040658508
AL_278,0.05946035783017987
BIO_alblk42_mean,0.05920585482474452
AL_282,0.058563169300898596
AL_235,0.05818037382274417
BIO_alblk25_std,0.057400127193936765
BIO_alblk47_std,0.05730549994570196
AL_251,0.0570612614818764
BIO_alblk10_max,0.05673115408626021
AL_74,0.056720757960657356
AL_265,0.05646187189565599
AL_262,0.05645952959523505
AL_108,0.055575089748747565
AL_157,0.05427011722538344
AL_224,0.05401365505645258
BIO_alblk57_std,0.053956394854012046
AL_47,0.05303057598396539
AL_243,0.05255473040446481
BIO_alblk45_max,0.05244144114753686
BIO_alblk58_std,0.05207826626412604
BIO_alblk30_mean,0.0518479846475607
BIO_alblk36_mean,0.05175389899337222
AA_2_P,0.05161156223247522
AL_253,0.05145224444969858
AL_148,0.05102042870131218
AL_55,0.050921881891799435
AL_76,0.05073222256432214
AL_58,0.05069153658196859
AL_83,0.05022014477659488
AL_124,0.050200397997982524
BIO_alblk39_mean,0.049985270161635245
BIO_alblk18_mean,0.04985242429308728
BIO_alblk31_mean,0.049629168957629484
BIO_alblk42_std,0.04941584398668281
BIO_alblk53_std,0.04914675687914717
AL_193,0.04891468176317655
BIO_alblk41_mean,0.04867304517502188
AL_202,0.048467003283858
AL_68,0.04827187725859765
AL_44,0.04820429792251775
AL_39,0.04816941582412275
BIO_alblk23_mean,0.04795497679254211
BIO_alblk16_std,0.047929498738449344
BIO_alblk39_std,0.04792942761452231
AA_1_E,0.04779875141698472
AL_78,0.04777106906124353
BIO_alblk27_mean,0.04738691394745958
BIO_alblk63_max,0.047351822618557186
BIO_alblk46_mean,0.047124867095521945
BIO_alblk08_mean,0.04669020689438276
AL_104,0.04535518947077747
AL_207,0.04512167562819188
AL_211,0.04511665116049914
AL_241,0.04470158300384861
